BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Other,3,25864,0,0.0,1.34,108,0.0,39.76,0.52,8621.33,11.54,342759.1,0.42,0.0,0.58,CENTRAL CITY
NonResidential,Other,3,20686,0,0.0,2.06,92,0.0,58.37,1.0,6895.33,14.24,402501.33,0.38,0.0,0.62,NORTH END
Nonresidential COS,Mixed Use Property,2,29508,7120,0.0,2.75,11,0.0,75.15,0.38,14754.0,40.62,1108810.0,0.36,0.0,0.64,CENTRAL CITY
Nonresidential COS,Other,3,20992,0,0.0,4.99,103,0.0,117.82,1.17,6997.33,34.91,824434.0,0.23,0.0,0.77,CENTRAL CITY
NonResidential,K-12 School,2,22344,0,40.0,2.47,91,0.0,68.14,1.0,11172.0,27.62,761298.38,0.36,0.0,0.64,CENTRAL CITY
NonResidential,University,3,31900,0,0.0,3.02,95,0.0,77.31,0.82,10633.33,32.07,822033.33,0.31,0.0,0.69,CENTRAL CITY
Nonresidential COS,Other,2,29417,0,0.0,1.91,66,0.0,55.46,0.63,14708.5,28.12,815739.56,0.4,0.0,0.6,NORTH END
NonResidential,Mixed Use Property,3,49299,0,0.0,0.19,107,0.0,95.94,0.49,16433.0,3.08,1576615.5,0.28,0.0,0.0,CENTRAL CITY
NonResidential,Mixed Use Property,2,21036,0,0.0,3.73,28,0.0,130.05,0.52,10518.0,39.18,1367905.75,0.53,0.0,0.47,CENTRAL CITY
NonResidential,Mixed Use Property,2,32928,0,9.0,1.2,17,0.0,171.65,0.74,16464.0,19.7,2826115.5,1.0,0.0,0.0,NORTH END
SPS-District K-12,K-12 School,2,54943,0,94.0,1.52,88,0.0,39.23,1.04,27471.5,41.88,1077695.12,0.31,0.0,0.69,NORTH END
