BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Other,2,44162,0,0.0,0.86,6,0.0,35.02,1.0,22081.0,19.07,773242.44,0.62,0.0,0.38,SOUTH END
NonResidential,Small- and Mid-Sized Office,2,64820,0,0.0,0.45,104,0.0,35.09,0.58,32410.0,14.7,1137148.38,0.87,0.0,0.13,CENTRAL CITY
NonResidential,University,2,99765,0,0.0,0.74,23,0.0,31.93,1.0,49882.5,37.15,1592502.62,0.65,0.0,0.35,CENTRAL CITY
Nonresidential COS,Other,1,20993,0,0.0,0.51,2,0.0,44.01,1.0,20993.0,10.8,923812.81,0.86,0.0,0.11,SOUTH END
NonResidential,Warehouse,4,101580,14004,0.0,0.1,2,0.0,9.26,0.86,25395.0,2.48,235211.17,0.92,0.0,0.08,SOUTH END
NonResidential,Other,3,33648,0,0.0,0.29,2,0.0,41.59,2.48,11216.0,3.25,466527.21,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,5,37873,0,0.0,1.72,1,0.0,61.96,0.68,7574.6,13.0,469338.5,0.55,0.0,0.45,CENTRAL CITY
NonResidential,Other,14,144614,0,89.0,0.35,1,0.0,38.21,1.1,10329.57,3.59,394648.04,0.95,0.0,0.05,CENTRAL CITY
NonResidential,Mixed Use Property,2,25532,0,0.0,0.17,2,0.0,24.59,0.46,12766.0,2.19,313927.06,1.0,0.0,0.0,NORTH END
NonResidential,Other,2,108036,0,0.0,0.85,1,0.0,46.21,1.87,54018.0,45.99,2495946.75,0.75,0.0,0.25,SOUTH END
NonResidential,Other,4,126823,41539,72.0,1.03,2,0.0,47.64,0.7,31705.75,32.76,1510599.88,0.68,0.0,0.32,CENTRAL CITY
NonResidential,Warehouse,1,52085,4222,37.0,3.03,61,0.0,69.23,1.0,52085.0,157.7,3605855.5,0.2,0.0,0.8,SOUTH END
NonResidential,Small- and Mid-Sized Office,2,24990,0,9.0,5.39,87,0.01,176.9,1.0,12495.0,67.4,2210325.25,0.49,0.0,0.51,SOUTH END
NonResidential,Other,1,72000,0,0.0,0.94,3,0.0,40.64,1.0,72000.0,67.65,2925780.0,0.65,0.0,0.35,NORTH END
NonResidential,K-12 School,3,45000,0,77.0,0.21,1,0.0,29.47,1.02,15000.0,3.08,441990.92,1.0,0.0,0.0,SOUTH END
Campus,University,1,68072,0,0.0,0.33,54,0.0,46.73,1.01,68072.0,22.17,3180819.25,1.0,0.0,0.0,NORTH END
Nonresidential COS,Mixed Use Property,1,20616,0,0.0,0.22,11,0.0,30.9,0.48,20616.0,4.44,636965.5,1.0,0.0,0.0,NORTH END
Nonresidential COS,Other,1,11685,0,0.0,2.5,3,0.0,72.83,1.0,11685.0,29.18,851053.81,0.41,0.0,0.59,CENTRAL CITY
Nonresidential COS,Other,1,11968,0,0.0,1.92,6,0.0,65.46,1.0,11968.0,23.0,783423.0,0.51,0.0,0.49,NORTH END
Nonresidential COS,Other,1,11285,0,0.0,1.27,67,0.0,57.21,1.0,11285.0,14.37,645665.38,0.67,0.0,0.33,NORTH END
Nonresidential COS,Other,1,16795,0,0.0,1.47,105,0.0,55.77,0.52,16795.0,24.73,936616.5,0.58,0.0,0.42,NORTH END
Nonresidential COS,Other,1,12769,0,0.0,16.93,44,0.02,400.76,0.85,12769.0,216.18,5117308.5,0.24,0.0,0.76,NORTH END
Nonresidential COS,Small- and Mid-Sized Office,1,13661,0,75.0,0.26,64,0.0,36.8,1.0,13661.0,3.5,502667.69,1.0,0.0,0.0,NORTH END
Nonresidential COS,Other,1,23445,0,0.0,11.06,104,0.01,254.9,1.0,23445.0,259.22,5976246.0,0.21,0.0,0.79,CENTRAL CITY
Nonresidential COS,Mixed Use Property,1,20050,0,0.0,3.03,22,0.0,90.44,0.4,20050.0,60.81,1813404.0,0.42,0.0,0.58,CENTRAL CITY
Nonresidential COS,Small- and Mid-Sized Office,1,15398,0,93.0,0.51,56,0.0,25.19,1.0,15398.0,7.79,387810.0,0.72,0.0,0.28,SOUTH END
Nonresidential COS,Other,1,18261,0,0.0,1.11,34,0.0,51.04,1.0,18261.0,20.33,932082.12,0.68,0.0,0.32,SOUTH END
Nonresidential COS,Small- and Mid-Sized Office,1,12294,0,46.0,1.7,26,0.0,69.12,1.0,12294.0,20.94,849745.69,0.62,0.0,0.38,SOUTH END
Nonresidential COS,Other,1,16000,0,0.0,2.01,12,0.0,59.39,1.0,16000.0,32.17,950276.19,0.42,0.0,0.58,CENTRAL CITY
Nonresidential COS,Other,1,13157,0,0.0,16.99,42,0.02,438.24,0.58,13157.0,223.54,5765898.0,0.31,0.0,0.69,NORTH END
Nonresidential COS,Mixed Use Property,1,14101,0,0.0,1.57,27,0.0,51.02,0.47,14101.0,22.11,719471.19,0.48,0.0,0.52,SOUTH END
Nonresidential COS,Mixed Use Property,1,18258,0,0.0,2.26,78,0.0,63.14,0.45,18258.0,41.27,1152896.25,0.38,0.0,0.62,SOUTH END
