TotalGHGEmissions
249.98
286.43
176.14
221.51
328.23
38.53
90.01
9.13
256.57
128.44
270.18
157.77
215.0
3.93
31.47
266.05
130.56
83.86
247.85
45.43
33.26
35.36
59.19
134.38
227.18
144.79
199.95
162.39
152.76
146.34
171.64
87.98
67.06
262.75
39.06
101.83
6.11
29.04
48.76
152.14
191.2
78.85
243.23
34.14
238.48
20.48
84.75
44.32
133.58
127.29
124.92
89.02
142.39
10.55
46.26
74.33
56.82
41.74
94.64
61.21
100.46
104.26
54.07
49.58
231.53
83.7
51.11
242.36
206.01
69.44
297.43
35.78
73.47
59.34
46.36
48.99
80.08
3.0
49.12
21.29
208.26
168.88
28.27
27.39
16.81
36.24
9.63
72.88
49.09
84.57
149.93
71.86
43.98
69.42
16.0
201.05
57.21
101.41
44.22
26.39
68.19
170.51
26.19
51.67
31.97
46.56
26.1
70.17
89.47
119.03
30.86
49.12
6.09
46.03
24.91
78.92
116.03
48.65
21.51
40.46
70.47
156.67
193.72
36.61
65.2
18.03
202.99
74.83
48.54
20.98
147.75
33.17
31.72
281.55
44.48
130.69
13.86
117.11
5.32
5.44
30.27
21.36
39.47
35.8
42.03
38.59
33.06
93.23
32.73
20.86
40.47
22.57
29.53
122.68
74.1
23.81
25.32
24.35
163.83
22.44
45.47
121.98
41.8
47.94
10.24
34.9
27.17
37.74
17.17
32.22
120.24
3.25
25.58
33.18
2.22
2.8
237.36
42.65
76.68
10.72
3.62
46.93
28.63
6.32
38.48
32.02
74.31
38.55
90.24
49.17
33.85
42.25
63.89
35.8
129.29
46.49
44.35
22.1
57.73
58.88
49.28
33.22
34.0
58.67
91.1
45.22
23.86
49.9
107.83
22.12
65.3
49.74
107.16
20.29
39.5
64.0
39.47
8.73
25.74
19.73
134.69
19.89
76.8
26.04
24.89
99.59
22.39
13.28
31.58
65.56
132.6
74.18
15.65
30.5
16.48
41.18
18.74
7.37
138.35
20.18
180.76
98.43
47.25
100.42
49.25
42.74
33.41
67.29
17.28
40.38
94.74
21.37
23.48
35.56
36.49
30.61
60.7
55.73
5.59
116.74
8.8
50.17
47.39
97.82
